instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE156C01018,13463,PIONEEREMB,PIONEER EMBROIDERIES LTD,46.44,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE450D01021,14134,PITTIENG,PITTI ENGINEERING LIMITED,1339.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE751B01018,9087,PIXTRANS,PIX TRANSMISSIONS LIMITED,1496.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE431F01018,10318,PKTEA,THE P K TEA PROD CO LTD,420.0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PXD01014,19492,PLADAINFO,PLADA INFOTECH SERVICES L,30.0,,,0.05,3000,EQUITY,,NSE_EQ
NSE_EQ|INE083C01022,13924,PLASTIBLEN,PLASTIBLENDS INDIA LTD,360.75,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0PT501018,22930,PLATIND,PLATINUM INDUSTRIES LTD,423.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0INJ01017,19458,PLAZACABLE,PLAZA WIRES LIMITED,86.6,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE160A01022,10666,PNB,PUNJAB NATIONAL BANK,112.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE859A01011,8736,PNBGILTS,PNB GILTS LIMITED,126.91,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE572E01012,18908,PNBHOUSING,PNB HOUSING FIN LTD.,1052.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE392B01011,9342,PNC,PRITISH NANDY COMMUNICATI,64.94,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE195J01029,9385,PNCINFRA,PNC INFRATECH LTD.,443.85,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE063E01046,14385,POCL,PONDY OXIDES & CHEM LTD,2180.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE888B01018,19672,PODDARHOUS,PODDAR HOUSE & DVPT LTD,79.68,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE371C01013,19036,PODDARMENT,PODDAR PIGMENTS LIMITED,411.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE637C01025,17651,POKARNA,POKARNA LIMITED,999.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE417T01026,6656,POLICYBZR,PB FINTECH LIMITED,1729.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE455K01017,9590,POLYCAB,POLYCAB INDIA LIMITED,6717.05,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE205C01021,25718,POLYMED,POLY MEDICURE LIMITED,2503.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE633B01018,2687,POLYPLEX,POLYPLEX CORPORATION LTD,1238.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE517M01028,22711,POLYSIL,POLYSIL IRRIGATION SYST L,32.05,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE838E01017,10661,PONNIERODE,PONNIE SUGARS (ERODE) LTD,485.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE511C01022,11403,POONAWALLA,POONAWALLA FINCORP LTD,385.25,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0S3H01017,24864,POSITRON,POSITRON ENERGY LIMITED,537.05,,,0.05,600,EQUITY,,NSE_EQ
NSE_EQ|INE752E01010,14977,POWERGRID,POWER GRID CORP. LTD.,332.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE07Y701011,18457,POWERINDIA,HITACHI ENERGY INDIA LTD,11745.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE211R01019,10473,POWERMECH,POWER MECH PROJECTS LTD.,6472.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE095I01015,15209,PPAP,PPAP AUTOMOTIVE LIMITED,210.3,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE050001010,10297,PPL,PRAKASH PIPES LIMITED,633.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE0DK501011,11571,PPLPHARMA,PIRAMAL PHARMA LIMITED,213.03,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0YAL01017,24785,PPSL,PICTUREPOST STUDIOS LTD,36.4,,,0.05,6000,EQUITY,,NSE_EQ
NSE_EQ|INE505C01016,13945,PRAENG,PRAJAY ENG. SYN. LTD.,40.92,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE074A01025,2705,PRAJIND,PRAJ INDUSTRIES LTD,750.4,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE603A01013,2708,PRAKASH,PRAKASH INDUSTRIES LTD,218.63,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE696K01024,19603,PRAKASHSTL,PRAKASH STEELAGE LTD,9.14,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0O7A01017,18514,PRAMARA,PRAMARA PROMOTIONS LTD,176.3,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE0QA601016,23113,PRATHAM,PRATHAM EPC PROJECTS LTD,255.2,,,0.05,1600,EQUITY,,NSE_EQ
NSE_EQ|INE546Y01022,1216,PRAXIS,PRAXIS HOME RETAIL LTD,16.5,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE484I01029,12603,PRECAM,PRECISION CAMSHAFTS LTD.,266.83,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0HKW01018,7950,PRECISION,PRECISION METALIKS LTD,48.7,,,0.05,2000,EQUITY,,NSE_EQ
NSE_EQ|INE283A01014,5884,PRECOT,PRECOT LIMITED,446.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE372C01037,2717,PRECWIRE,PRECISION WIRES INDIA LTD,176.89,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE863B01029,17415,PREMEXPLN,PREMIER EXPLOSIVES LTD,575.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE342A01018,6248,PREMIER,PREMIER LIMITED,4.2,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0BS701011,25049,PREMIERENE,PREMIER ENERGIES LIMITED,841.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE309M01012,3908,PREMIERPOL,PREMIER POLYFILM LTD,221.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0R1601012,20498,PRESSTONIC,PRESSTONIC ENGINEERING L,111.8,,,0.05,800,EQUITY,,NSE_EQ
NSE_EQ|INE811K01011,20302,PRESTIGE,PRESTIGE ESTATE LTD,1868.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE726V01018,19631,PRICOLLTD,PRICOL LIMITED,492.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE032B01021,11864,PRIMESECU,PRIME SECURITIES LIMITED,298.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE689W01016,16045,PRINCEPIPE,PRINCE PIPES FITTINGS LTD,569.7,,,0.05,1,EQUITY,,NSE_EQ
